Fu_human,Vd_ss,Fsp3,LogP,nRot,nHD,nRing,MW
1.1,1.62,0.621,3.32,4,2,5,496.25
0.56,0.93,0.85,1.28,0,2,4,364.19
0.74,0.78,0.905,2.23,0,2,4,364.22
0.58,1.01,0.8,1.09,0,3,4,364.19
0.62,1.11,0.8,2.0,4,3,5,478.22
0.73,0.37,0.885,-0.45,3,7,6,542.24
0.68,0.37,0.885,-1.07,3,8,6,558.23
0.71,0.36,0.885,-0.75,3,7,6,542.24
0.59,0.9,0.85,1.28,0,2,4,364.19
0.63,0.84,0.85,0.6,0,4,5,380.18
0.53,0.98,0.8,0.45,0,3,5,378.17
0.46,0.86,0.9,1.17,0,3,4,366.2
0.58,1.02,0.8,1.06,4,4,5,494.22
0.54,0.76,0.85,-0.18,0,5,5,396.18
0.58,0.79,0.8,-0.2,0,4,5,394.16
0.53,0.98,0.783,0.43,2,3,5,450.19
0.62,1.1,0.821,1.58,6,4,5,536.26
0.52,0.82,0.8,0.04,1,3,5,394.16
0.53,1.0,0.773,0.3,2,3,5,436.17
0.6,0.92,0.818,0.46,2,4,5,438.19
0.56,0.9,0.818,0.18,2,4,5,438.19
0.52,0.85,0.8,-0.12,0,4,5,394.16
0.58,0.79,0.8,-0.21,0,4,5,394.16
0.55,0.63,0.85,-0.2,0,5,5,396.18
