,MW,LogP,TPSA,Fsp3,nHA,nHD,nRot,nRing,nHet,Fu_human,Vd_ss
MW,1.0,-0.32962412026120846,0.8894727240184293,-0.06706827162193937,0.9012170275188787,0.5814028327714104,0.874369036972072,0.8361101349028449,0.9012170275188787,0.39794130530004385,-0.04193072150757017
LogP,-0.32962412026120846,1.0,-0.5373055059703219,-0.1272359719246744,-0.5191678854999048,-0.7894732847192832,0.07937680986425531,-0.6908255452997901,-0.5191678854999048,0.15891811890739058,0.7400958472357599
TPSA,0.8894727240184291,-0.5373055059703219,0.9999999999999999,0.015192163134291645,0.9874541087047541,0.7676249145914986,0.7111142677071186,0.8355613260909055,0.9874541087047541,0.19938721741653273,-0.16739454968483752
Fsp3,-0.06706827162193937,-0.1272359719246744,0.015192163134291645,0.9999999999999999,-0.05294313310786342,0.31391262646446455,-0.19199242423414775,-0.032888001492997546,-0.05294313310786342,0.3009129786771014,-0.6482720176272468
nHA,0.9012170275188787,-0.5191678854999048,0.987454108704754,-0.05294313310786342,1.0,0.6994572260118068,0.7564173919444042,0.8461773754599223,1.0,0.19770919541240525,-0.12907492320969682
nHD,0.5814028327714104,-0.7894732847192832,0.7676249145914986,0.3139126264644646,0.6994572260118068,1.0,0.20452952402531002,0.7655780717125407,0.6994572260118068,0.13795616731003174,-0.6013686885895219
nRot,0.874369036972072,0.0793768098642553,0.7111142677071186,-0.19199242423414778,0.7564173919444042,0.20452952402531002,1.0,0.5605577754237723,0.7564173919444042,0.4370674050334547,0.33399489703468255
nRing,0.8361101349028449,-0.69082554529979,0.8355613260909055,-0.032888001492997546,0.8461773754599222,0.7655780717125407,0.5605577754237723,1.0,0.8461773754599222,0.27032132181069424,-0.36750370043459346
nHet,0.9012170275188787,-0.5191678854999048,0.987454108704754,-0.05294313310786342,1.0,0.6994572260118068,0.7564173919444042,0.8461773754599223,1.0,0.19770919541240525,-0.12907492320969682
Fu_human,0.39794130530004385,0.15891811890739058,0.19938721741653276,0.3009129786771013,0.19770919541240525,0.13795616731003174,0.4370674050334547,0.27032132181069424,0.19770919541240525,1.0,-0.09674640431173742
Vd_ss,-0.04193072150757017,0.7400958472357599,-0.16739454968483755,-0.6482720176272468,-0.1290749232096968,-0.6013686885895219,0.3339948970346825,-0.3675037004345934,-0.1290749232096968,-0.09674640431173742,1.0
