,MW,LogP,TPSA,Fsp3,nHA,nHD,nRot,nRing,nHet,CYP 3A4 Substrate,CYP 2C19 substrate
MW,1.0,-0.32962412026120846,0.8894727240184293,-0.06706827162193937,0.9012170275188787,0.5814028327714104,0.874369036972072,0.8361101349028449,0.9012170275188787,0.21868313160612038,-0.5177936511652891
LogP,-0.32962412026120846,1.0,-0.5373055059703219,-0.1272359719246744,-0.5191678854999048,-0.7894732847192832,0.07937680986425531,-0.6908255452997901,-0.5191678854999048,0.3695888710460997,0.5905134899912968
TPSA,0.8894727240184291,-0.5373055059703219,0.9999999999999999,0.015192163134291645,0.9874541087047541,0.7676249145914986,0.7111142677071186,0.8355613260909055,0.9874541087047541,0.014394823400711484,-0.7118261737641739
Fsp3,-0.06706827162193937,-0.1272359719246744,0.015192163134291645,0.9999999999999999,-0.05294313310786342,0.31391262646446455,-0.19199242423414775,-0.032888001492997546,-0.05294313310786342,0.02539710305678188,0.1432797372111482
nHA,0.9012170275188787,-0.5191678854999048,0.987454108704754,-0.05294313310786342,1.0,0.6994572260118068,0.7564173919444042,0.8461773754599223,1.0,0.07509731358495188,-0.7173353720077408
nHD,0.5814028327714104,-0.7894732847192832,0.7676249145914986,0.3139126264644646,0.6994572260118068,1.0,0.20452952402531002,0.7655780717125407,0.6994572260118068,-0.22905045466560378,-0.5412437998146739
nRot,0.874369036972072,0.0793768098642553,0.7111142677071186,-0.19199242423414778,0.7564173919444042,0.20452952402531002,1.0,0.5605577754237723,0.7564173919444042,0.41453691559686295,-0.3789075364990775
nRing,0.8361101349028449,-0.69082554529979,0.8355613260909055,-0.032888001492997546,0.8461773754599222,0.7655780717125407,0.5605577754237723,1.0,0.8461773754599222,-0.014095413962611946,-0.6406976145750888
nHet,0.9012170275188787,-0.5191678854999048,0.987454108704754,-0.05294313310786342,1.0,0.6994572260118068,0.7564173919444042,0.8461773754599223,1.0,0.07509731358495188,-0.7173353720077408
CYP 3A4 Substrate,0.21868313160612038,0.3695888710460997,0.014394823400711484,0.02539710305678188,0.07509731358495188,-0.22905045466560375,0.41453691559686295,-0.014095413962611948,0.07509731358495188,1.0,0.47726779462927765
CYP 2C19 substrate,-0.5177936511652891,0.5905134899912968,-0.7118261737641739,0.14327973721114823,-0.7173353720077408,-0.541243799814674,-0.3789075364990775,-0.6406976145750888,-0.7173353720077408,0.4772677946292777,1.0
