CYP 3A4 Substrate,CYP 2C19 substrate,Fsp3,nRing,MW,logP,nHD,TPSA
0.964,0.518,0.621,5,496.25,2.71845163377748,2,110.13
1.0,0.018,0.5,4,346.05,1.18741438284637,2,100.9
1.0,0.019,0.55,4,348.06,1.20338963966256,3,104.06
0.999,0.02,0.45,4,346.05,1.40864836092743,3,104.06
0.943,0.451,0.8,5,478.22,1.76784006948155,3,139.59
0.908,0.388,0.885,6,542.24,-0.636129038298513,7,195.6
0.881,0.379,0.885,6,558.23,-0.202280586356344,8,215.83
0.89,0.369,0.885,6,542.24,-0.979431159312496,7,195.6
0.936,0.53,0.85,4,364.19,1.16762857849274,2,100.9
0.999,0.035,0.55,5,364.06,0.704374386654414,4,116.45
0.999,0.034,0.5,5,362.04,0.703898464449716,3,113.29
1.0,0.021,0.55,4,348.06,1.15159451456902,3,104.06
1.0,0.011,0.48,5,472.04,0.810010424618972,4,159.82
1.0,0.012,0.15,5,373.0,-0.334931057356201,5,136.68
0.999,0.033,0.55,5,379.05,1.46891640969969,3,133.19
1.0,0.017,0.478,5,430.03,0.714829590806773,3,139.59
1.0,0.003,0.393,5,507.04,1.30522163384972,4,159.82
0.406,0.213,0.632,5,377.12,0.837692832066974,3,122.52
1.0,0.028,0.5,5,419.04,0.721230820974785,3,139.59
0.999,0.029,0.545,5,421.06,0.739705434513887,4,142.75
0.566,0.352,0.818,5,438.19,0.410292721562966,4,142.75
0.776,0.445,0.8,5,394.16,0.475531665177206,4,133.52
0.799,0.413,0.8,5,394.16,0.915133594649574,4,133.52
0.371,0.439,0.85,5,396.18,0.260357551842644,5,136.68
