,MW,logP,nRot,nHA,nHD,TPSA,Fsp3,nRing,nHet,CYP 3A4 Substrate,CYP 2C19 substrate
MW,1.0,-0.29373379270802263,0.868853858020293,0.8927101188043304,0.5242143609307854,0.8666541809628289,0.3940554458240846,0.8117992188704451,0.8927101188043304,-0.2959326448065182,0.26631863872194056
logP,-0.2937337927080226,0.9999999999999999,0.008867667784340599,-0.4754027747752473,-0.7616243448373551,-0.5385982358351337,-0.32860366829344667,-0.6148439853279821,-0.4754027747752473,0.32126033779607616,-0.08521739130434783
nRot,0.868853858020293,0.008867667784340597,1.0,0.7581198865400226,0.2232386765492618,0.7111142677071186,0.09756668541763051,0.5605577754237723,0.7581198865400226,-0.00047764316081640753,0.015401738783328405
nHA,0.8927101188043304,-0.4754027747752473,0.7581198865400226,1.0,0.6789943820894726,0.985236602854639,0.23445011429199675,0.8480818959323456,1.0,-0.19094256836518134,0.0022132345194378366
nHD,0.5242143609307854,-0.7616243448373551,0.2232386765492618,0.6789943820894726,1.0,0.765316358240756,0.31761405957140754,0.7195822181374478,0.6789943820894726,-0.3364017690690757,0.03488701639052727
TPSA,0.866654180962829,-0.5385982358351337,0.7111142677071186,0.9852366028546389,0.765316358240756,0.9999999999999999,0.2174012556648741,0.8355613260909055,0.9852366028546389,-0.18343725418728665,-0.028783387502120502
Fsp3,0.3940554458240846,-0.3286036682934467,0.09756668541763051,0.23445011429199678,0.3176140595714075,0.2174012556648741,1.0,0.4130975351398137,0.23445011429199678,-0.8098801732946217,0.8363662514809269
nRing,0.8117992188704451,-0.6148439853279821,0.5605577754237723,0.8480818959323456,0.7195822181374477,0.8355613260909055,0.4130975351398136,1.0,0.8480818959323456,-0.4142372889223669,0.27088627197387327
nHet,0.8927101188043304,-0.4754027747752473,0.7581198865400226,1.0,0.6789943820894726,0.985236602854639,0.23445011429199675,0.8480818959323456,1.0,-0.19094256836518134,0.0022132345194378366
CYP 3A4 Substrate,-0.2959326448065182,0.32126033779607616,-0.00047764316081640753,-0.19094256836518134,-0.3364017690690757,-0.18343725418728665,-0.8098801732946217,-0.4142372889223669,-0.19094256836518134,1.0,-0.8098252282394164
CYP 2C19 substrate,0.26631863872194056,-0.08521739130434783,0.015401738783328405,0.0022132345194378366,0.03488701639052727,-0.028783387502120505,0.8363662514809269,0.27088627197387327,0.0022132345194378366,-0.8098252282394163,0.9999999999999999
